item_word,item_image,relation
鳄鱼,animate/a64.jpg,match
奶牛,animate/a28.jpg,match
孔雀,animate/a32.jpg,match
老鹰,animate/a70.jpg,match
蚊子,animate/a47.jpg,match
狐狸,animate/a48.jpg,match
金鱼,animate/a54.jpg,match
船长,animate/a75.jpg,match
老师,animate/a40.jpg,match
母猪,animate/a74.jpg,match
绵羊,animate/a35.jpg,match
蜘蛛,animate/a63.jpg,match
黑猫,animate/a37.jpg,match
家庭,animate/a41.jpg,match
蚂蚁,animate/a59.jpg,match
大象,animate/a11.jpg,match
观众,animate/a39.jpg,match
新娘,animate/a3.jpg,match
诗人,animate/a36.jpg,match
军人,animate/a34.jpg,match
道士,animate/a46.jpg,match
海鸥,animate/a16.jpg,match
老虎,animate/a67.jpg,match
蝴蝶,animate/a57.jpg,match
骆驼,animate/a20.jpg,match
青蛙,animate/a62.jpg,match
夫妻,animate/a78.jpg,match
工人,animate/a68.jpg,match
狮子,animate/a27.jpg,match
将军,animate/a79.jpg,match
小鸟,animate/a66.jpg,match
歌手,animate/a45.jpg,match
乐队,animate/a43.jpg,match
天鹅,animate/a61.jpg,match
小鸡,animate/a80.jpg,match
婴儿,animate/a22.jpg,match
护士,animate/a71.jpg,match
鸽子,animate/a4.jpg,match
螃蟹,animate/a49.jpg,match
病人,animate/a55.jpg,match
女王,animate/a44.jpg,match
鲨鱼,animate/a52.jpg,match
老鼠,animate/a25.jpg,match
和尚,animate/a9.jpg,match
孕妇,animate/a18.jpg,match
厨师,animate/a1.jpg,match
蟋蟀,animate/a72.jpg,match
乌龟,animate/a53.jpg,match
军队,animate/a8.jpg,match
黑狗,animate/a77.jpg,match
兔子,animate/a58.jpg,match
蝙蝠,animate/a14.jpg,match
母鸡,animate/a23.jpg,match
法官,animate/a33.jpg,match
公鸡,animate/a31.jpg,match
苍蝇,animate/a56.jpg,match
蝌蚪,animate/a50.jpg,match
毛驴,animate/a42.jpg,match
猴子,animate/a60.jpg,match
鸭子,animate/a24.jpg,match
礼物,non-animate/n64.jpg,match
鸡蛋,non-animate/n28.jpg,match
饭店,non-animate/n32.jpg,match
电话,non-animate/n70.jpg,match
石头,non-animate/n47.jpg,match
窗户,non-animate/n48.jpg,match
钉子,non-animate/n54.jpg,match
楼梯,non-animate/n75.jpg,match
黑板,non-animate/n40.jpg,match
篮球,non-animate/n74.jpg,match
珍珠,non-animate/n35.jpg,match
飞机,non-animate/n63.jpg,match
铅笔,non-animate/n37.jpg,match
坦克,non-animate/n41.jpg,match
面包,non-animate/n59.jpg,match
黄瓜,non-animate/n11.jpg,match
橡皮,non-animate/n39.jpg,match
雪花,non-animate/n3.jpg,match
衬衫,non-animate/n36.jpg,match
杯子,non-animate/n34.jpg,match
公路,non-animate/n46.jpg,match
葡萄,non-animate/n16.jpg,match
袜子,non-animate/n67.jpg,match
葫芦,non-animate/n57.jpg,match
